id,created_date,water_pH,TDS,water_temp
217353,2023-01-31 00:51:00,6.84,294,24.69
217354,2023-01-31 00:51:00,7.23,294,24.69
217358,2023-01-31 00:51:00,7.09,298,24.69
217360,2023-01-31 00:52:00,6.55,296,24.69
217361,2023-01-31 00:52:00,7.24,296,24.69
217365,2023-01-31 00:52:00,6.66,296,24.69
217366,2023-01-31 00:52:00,7.17,294,24.69
217368,2023-01-31 00:52:00,7.33,294,24.69
217371,2023-01-31 00:52:00,7.1,294,24.69
217373,2023-01-31 00:52:00,7.13,296,24.69
217377,2023-01-31 00:52:00,6.78,296,24.69
217381,2023-01-31 00:53:00,7.13,296,24.69
217382,2023-01-31 00:53:00,7.19,294,24.69
217384,2023-01-31 00:53:00,7.23,294,24.69
217385,2023-01-31 00:53:00,7.15,296,24.69
217389,2023-01-31 00:53:00,6.51,294,24.69
217390,2023-01-31 00:53:00,7.1,296,24.69
217391,2023-01-31 00:53:00,7.25,296,24.69
217393,2023-01-31 00:53:00,6.8,294,24.69
217394,2023-01-31 00:53:00,6.94,298,24.69
217401,2023-01-31 00:53:00,7.24,296,24.69
217402,2023-01-31 00:53:00,6.6,298,24.69
217404,2023-01-31 00:54:00,7.1,296,24.69
217405,2023-01-31 00:54:00,6.67,294,24.69
217408,2023-01-31 00:54:00,7.19,296,24.69
217410,2023-01-31 00:54:00,7.07,296,24.69
217411,2023-01-31 00:54:00,6.8,296,24.69
217412,2023-01-31 00:54:00,7.28,296,24.69
217413,2023-01-31 00:54:00,7.17,294,24.69
217418,2023-01-31 00:54:00,7.04,296,24.69
217420,2023-01-31 00:54:00,6.83,296,24.69
217423,2023-01-31 00:54:00,7.27,294,24.69
217424,2023-01-31 00:54:00,6.66,294,24.69
217426,2023-01-31 00:54:00,7.29,296,24.69
217427,2023-01-31 00:54:00,6.98,294,24.69
217428,2023-01-31 00:55:00,7.01,294,24.69
217431,2023-01-31 00:55:00,7.07,294,24.69
217432,2023-01-31 00:55:00,7.22,294,24.69
217434,2023-01-31 00:55:00,6.96,296,24.69
217437,2023-01-31 00:55:00,7.2,296,24.69
217438,2023-01-31 00:55:00,7.11,296,24.69
217439,2023-01-31 00:55:00,6.94,296,24.69
217443,2023-01-31 00:55:00,7.07,294,24.69
217444,2023-01-31 00:55:00,6.95,298,24.69
217446,2023-01-31 00:55:00,7.26,296,24.69
217451,2023-01-31 00:56:00,7.34,296,24.69
217452,2023-01-31 00:56:00,7.37,298,24.69
217453,2023-01-31 00:56:00,7.23,294,24.69
217455,2023-01-31 00:56:00,6.6,294,24.69
217457,2023-01-31 00:56:00,6.87,296,24.69
217460,2023-01-31 00:56:00,7.22,296,24.69
217461,2023-01-31 00:56:00,6.78,296,24.69
217463,2023-01-31 00:56:00,7.17,298,24.69
217464,2023-01-31 00:56:00,7.07,296,24.69
217465,2023-01-31 00:56:00,7.31,296,24.69
